epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1579.28,1.13437,0.83963,1.14184,0.74352,0.65138,0.73149,0.47151,1.25954,1.0004,1.2164,0.0011816,0.0011816,0.0011816
64,1603.55,1.14916,0.83073,1.12724,0.77684,0.65974,0.75362,0.49277,1.2534,0.97732,1.21034,0.0011684,0.0011684,0.0011684
65,1628.74,1.16257,0.85434,1.13044,0.7946,0.62527,0.73177,0.47618,1.28143,0.99105,1.23552,0.0011552,0.0011552,0.0011552
66,1654.05,1.12421,0.81233,1.13272,0.76014,0.66691,0.74227,0.4838,1.26136,0.97365,1.22129,0.001142,0.001142,0.001142
67,1678.26,1.19417,0.85397,1.12376,0.75208,0.63676,0.725,0.46756,1.30785,1.03713,1.23607,0.0011288,0.0011288,0.0011288
68,1703.26,1.15053,0.84105,1.13241,0.79836,0.64805,0.7535,0.48873,1.27372,0.96193,1.21591,0.0011156,0.0011156,0.0011156
69,1727.78,1.13532,0.82417,1.11757,0.76028,0.65797,0.74441,0.48095,1.27216,0.96583,1.20273,0.0011024,0.0011024,0.0011024
70,1753.41,1.14562,0.81538,1.12311,0.73606,0.67465,0.72437,0.45548,1.33521,1.02685,1.27109,0.0010892,0.0010892,0.0010892
71,1777.67,1.17281,0.82888,1.14496,0.76126,0.67265,0.74846,0.48192,1.28154,0.97422,1.23532,0.001076,0.001076,0.001076
72,1803.03,1.13756,0.81863,1.11577,0.77865,0.66414,0.75746,0.49526,1.24056,0.91877,1.22117,0.0010628,0.0010628,0.0010628
73,1828.67,1.13491,0.81138,1.12353,0.78513,0.66547,0.75358,0.48706,1.24632,0.96407,1.20776,0.0010496,0.0010496,0.0010496
74,1853.4,1.11852,0.80567,1.11731,0.7914,0.65093,0.75845,0.49221,1.28955,0.94538,1.23426,0.0010364,0.0010364,0.0010364
75,1877.7,1.09888,0.78868,1.10511,0.78823,0.65998,0.7559,0.49511,1.24632,0.94703,1.20357,0.0010232,0.0010232,0.0010232
76,1902.82,1.12451,0.78806,1.11769,0.78811,0.65952,0.74719,0.48283,1.267,0.95609,1.21002,0.00101,0.00101,0.00101
77,1927.43,1.12237,0.80698,1.11742,0.76768,0.66188,0.74682,0.47952,1.2622,0.96586,1.20488,0.0009968,0.0009968,0.0009968
78,1952.7,1.11568,0.79504,1.12121,0.77546,0.69993,0.76908,0.5096,1.21078,0.88929,1.18166,0.0009836,0.0009836,0.0009836
79,1977.83,1.10225,0.78521,1.10964,0.7911,0.69052,0.7699,0.50896,1.22496,0.90938,1.18185,0.0009704,0.0009704,0.0009704
80,2001.57,1.10307,0.8026,1.11146,0.79372,0.68916,0.77384,0.51185,1.22267,0.92127,1.18573,0.0009572,0.0009572,0.0009572
81,2026.66,1.11773,0.79975,1.10383,0.78656,0.67911,0.76091,0.49735,1.24108,0.94049,1.19552,0.000944,0.000944,0.000944
82,2051.26,1.09824,0.76389,1.10243,0.79902,0.67408,0.76163,0.50766,1.21691,0.90909,1.18324,0.0009308,0.0009308,0.0009308
83,2075.68,1.12094,0.79994,1.11453,0.79738,0.64129,0.74525,0.48729,1.2451,0.95377,1.18569,0.0009176,0.0009176,0.0009176
84,2100.3,1.1292,0.7816,1.11347,0.82409,0.65686,0.751,0.49717,1.24287,0.95755,1.20314,0.0009044,0.0009044,0.0009044
85,2124.95,1.09206,0.76281,1.08132,0.77916,0.66866,0.75531,0.48929,1.22831,0.97241,1.19576,0.0008912,0.0008912,0.0008912
86,2150.06,1.10082,0.77818,1.10305,0.78632,0.67839,0.75561,0.49702,1.23729,0.95154,1.19926,0.000878,0.000878,0.000878
87,2174.87,1.0684,0.74784,1.0889,0.77271,0.67602,0.75723,0.50249,1.23611,0.96012,1.20318,0.0008648,0.0008648,0.0008648
